lease_bf_plaza_clean.plazaid,lease_bf_plaza_clean.companyid,lease_bf_plaza_clean.plazacode,lease_bf_plaza_clean.plazaname,lease_bf_plaza_clean.shortname,lease_bf_plaza_clean.operationcenterid,lease_bf_plaza_clean.operationcenter,lease_bf_plaza_clean.regionalcompanyid,lease_bf_plaza_clean.regionalcompany,lease_bf_plaza_clean.plazatype,lease_bf_plaza_clean.opendate,lease_bf_plaza_clean.provinceid,lease_bf_plaza_clean.cityid,lease_bf_plaza_clean.countyid,lease_bf_plaza_clean.plazaadress,lease_bf_plaza_clean.ownercompanyid,lease_bf_plaza_clean.businesscompanyid,lease_bf_plaza_clean.propertycompanyid,lease_bf_plaza_clean.plazalevel,lease_bf_plaza_clean.plazaclass,lease_bf_plaza_clean.assettype,lease_bf_plaza_clean.classification,lease_bf_plaza_clean.areaofbuildingtotal,lease_bf_plaza_clean.businessareaofbuilding,lease_bf_plaza_clean.areaofsupporting,lease_bf_plaza_clean.floorovergroundcount,lease_bf_plaza_clean.floorundergroundcount,lease_bf_plaza_clean.parkcount,lease_bf_plaza_clean.mapscalelocationx,lease_bf_plaza_clean.mapscalelocationy,lease_bf_plaza_clean.innerpedestrianarea,lease_bf_plaza_clean.mainarea,lease_bf_plaza_clean.secmainarea,lease_bf_plaza_clean.outdoorarea,lease_bf_plaza_clean.firstmainarea,lease_bf_plaza_clean.firstsecmainarea,lease_bf_plaza_clean.firstotherarea,lease_bf_plaza_clean.firstoutdoorarea,lease_bf_plaza_clean.firstofficebuildingarea,lease_bf_plaza_clean.firstbarstreetarea,lease_bf_plaza_clean.isvalid,lease_bf_plaza_clean.recordstatus,lease_bf_plaza_clean.createuserid,lease_bf_plaza_clean.createdate,lease_bf_plaza_clean.modifyuserid,lease_bf_plaza_clean.modifydate,lease_bf_plaza_clean.fromtable,lease_bf_plaza_clean.fromrecordid,lease_bf_plaza_clean.firstmaininnerarea,lease_bf_plaza_clean.firstmainrentarea,lease_bf_plaza_clean.firstsecmaininnerarea,lease_bf_plaza_clean.firstsecmainrentarea,lease_bf_plaza_clean.firstotherinnerarea,lease_bf_plaza_clean.firstotherrentrentarea,lease_bf_plaza_clean.firstoutdoorinnerarea,lease_bf_plaza_clean.firstoutdoorrentarea,lease_bf_plaza_clean.firstofficebuildinginnerarea,lease_bf_plaza_clean.firstofficebuildingrentarea,lease_bf_plaza_clean.firstbarstreetrentarea,lease_bf_plaza_clean.firstbarstreetinnerarea,lease_bf_plaza_clean.assetareaamt,lease_bf_plaza_clean.upareaofbuilding,lease_bf_plaza_clean.downareaofbuilding,lease_bf_plaza_clean.adscount,lease_bf_plaza_clean.datafrominfo,lease_bf_plaza_clean.frominfo,lease_bf_plaza_clean.workflowstatus,lease_bf_plaza_clean.plazaposition
1001142,5446,CDQY,成都青羊万达广场,成都青羊,5397,西南运营中心,4653,成都区域商管公司,BUSINESSCENTER,2016-12-10 00:00:00.0,22,323,,,3181,3438,3438,2C,2C,DEVELOPMENT,B类,174693.2,92117.59,82575.61,5,1,1831,91864.52,68251.18,,,,,38800,0,52471.27,0,,,,ACTIVE,1,2015-10-26 15:10:27.451369,1,2018-06-04 23:14:58.0,BF_PLAZA,1001142,0,37750,0,0,28640.58,28640.58,0,0,,,,,,164394.38,10298.82,144,,,APPROVED,
1001143,5441,DGHM,东莞虎门万达广场,东莞虎门,5396,华南运营中心,5512,东莞区域商管公司,BUSINESSCENTER,2016-12-16 00:00:00.0,18,101,,,2832,3234,3234,3A,3A,DEVELOPMENT,B类,146100,93480.52,52619.48,5,1,1086,93546,69250.18,,,,,42250,0,48883.59,37.99,,,,ACTIVE,1,2015-10-26 15:10:45.672519,1,2018-06-04 23:14:58.0,BF_PLAZA,1001143,0,41300,0,0,25502.56,25502.56,37.99,37.99,,,,,,136356.33,9743.67,64,,,APPROVED,
1001144,5460,CDSL,成都双流万达广场,成都双流,5397,西南运营中心,4653,成都区域商管公司,BUSINESSCENTER,2016-12-17 00:00:00.0,22,323,,,3279,3358,3358,2C,2C,DIRECTINVESTMENT,D类,126041.41,116183.72,9857.69,5,0,1181,114578.08,85094.39,,,,,41500,0,74178.95,0,,,,ACTIVE,1,2015-10-26 15:11:05.4537,1,2018-06-04 23:14:58.0,BF_PLAZA,1001144,0,40500,0,0,44460.71,44460.71,0,0,,,,,,126041.41,0,103,,,APPROVED,
1001145,5436,BJFT,北京丰台万达广场,北京丰台科技园,5503,华北运营中心,4402,北京区域商管公司,BUSINESSCENTER,2016-12-22 00:00:00.0,13,381,,,3238,3419,3419,1B,1B,DEVELOPMENT,C类,190737.55,109746.15,80991.4,7,1,1520,109746.15,74635.51,,,,,36800,0,72523.39,0,,,,ACTIVE,1,2015-10-26 15:11:26.124097,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001145,,,,,,,,,,,,,,170715.39,20022.16,107,租赁系统,,APPROVED,区域/社区-全客层-生活中心
1001147,5454,YTKFQ,烟台开发区万达广场,烟台开发区,5503,华北运营中心,5506,青岛区域商管公司,BUSINESSCENTER,2016-12-23 00:00:00.0,27,280,,,3286,3403,3403,3A,3A,DIRECTINVESTMENT,D类,129868.63,88165.33,41703.3,5,0,750,88165.33,65322.683,,,,,29800,0,34823.35,0,,,,ACTIVE,1,2015-10-26 15:12:10.756555,51192,2018-06-04 23:14:58.0,BF_PLAZA,1001147,0,28800,0,0,34823.35,34823.35,0,0,,,,,,129868.63,0,104,,,APPROVED,
1001148,5470,HKXY,海口秀英万达广场,海口秀英,5396,华南运营中心,4634,广州区域商管公司,BUSINESSCENTER,2016-12-23 00:00:00.0,32,132,,,3415,3406,3406,3A,3A,DIRECTINVESTMENT,C类,149800,98594.52,51205.48,5,0,1115,98594.52,73337.31,,,,,32000,0,63126.52,0,,,,ACTIVE,1,2015-10-26 15:12:30.553336,1,2018-06-04 23:14:58.0,BF_PLAZA,1001148,0,31050,0,0,37907.38,37907.38,0,0,,,,,,149800,0,119,,,APPROVED,
1001149,5461,HZ,湖州万达广场,浙江湖州,5563,东南运营中心,5516,杭州区域商管公司,BUSINESSCENTER,2016-12-29 00:00:00.0,17,374,,,3436,4057,4057,3A,3A,DIRECTINVESTMENT,D类,139500,98099.53,41400.47,5,0,1015,98099.53,68715.78,,,,,29600,0,41100.89,0,,,,ACTIVE,1,2015-10-26 15:12:51.410937,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001149,,,,,,,,,,,,,,139500,0,59,租赁系统,,APPROVED,城市-家庭-购物中心
1001150,5440,FY*Q,阜阳颍泉万达广场,阜阳颍泉,5395,中南运营中心,4655,合肥区域商管公司,BUSINESSCENTER,2017-06-16 00:00:00.0,28,58,,,3435,3390,3390,3A,3A,DIRECTINVESTMENT,D类,130053.09,88409.64,41643.45,5,0,791,88409.64,65880.85,,,,,30300,0,32069.97,0,,,,ACTIVE,1,2015-10-26 15:13:15.263796,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001150,,,,,,,,,,,,,,130053.09,0,59,租赁系统,,APPROVED,区域-家庭-购物中心
1001151,5462,FZ,抚州万达广场,江西抚州,5395,中南运营中心,5321,南昌区域商管公司,BUSINESSCENTER,2017-06-16 00:00:00.0,33,230,,,3447,3486,3486,3B,3B,DIRECTINVESTMENT,C类,140154.54,98008.87,42145.67,5,0,800,98008.87,70025.37,,,,,30400,0,66363.72,0,,,,ACTIVE,1,2015-10-26 15:13:35.388183,49884,2018-06-04 23:14:58.0,BF_PLAZA,1001151,,,,,,,,,,,,,,140154.54,0,102,租赁系统,,APPROVED,城市-全客层-购物中心
1001152,5463,BZ,滨州万达广场,山东滨州,5503,华北运营中心,5315,济南区域商管公司,BUSINESSCENTER,2016-12-30 00:00:00.0,27,282,,,3446,3408,3408,3B,3B,DIRECTINVESTMENT,D类,96195.91,88600.65,7595.26,5,0,750,88600.65,64705.13,,,,,30100,0,35644.04,0,,,,ACTIVE,1,2015-10-26 15:13:55.51257,1,2018-06-04 23:14:58.0,BF_PLAZA,1001152,0,29100,0,0,35644.04,35644.04,0,0,,,,,,96195.91,0,57,,,APPROVED,
