merchant_plazainfo.plazaid,merchant_plazainfo.plazaname,merchant_plazainfo.plazacode,merchant_plazainfo.plazanameshort,merchant_plazainfo.areaid,merchant_plazainfo.opendate,merchant_plazainfo.shooppingceterarea,merchant_plazainfo.mainstorearea,merchant_plazainfo.innerpedestrianarea,merchant_plazainfo.areaofpark,merchant_plazainfo.shoppingceterprakcount,merchant_plazainfo.plazarechargetype,merchant_plazainfo.leasesystemid,merchant_plazainfo.propertysystemid,merchant_plazainfo.customsalessystemid,merchant_plazainfo.customercomplaintssystemid,merchant_plazainfo.othersystemid1,merchant_plazainfo.othersystemid2,merchant_plazainfo.othersystemid3,merchant_plazainfo.listindex,merchant_plazainfo.weatherregion,merchant_plazainfo.weatherurl,merchant_plazainfo.startworktimeam,merchant_plazainfo.guittingtimeam,merchant_plazainfo.startworktimepm,merchant_plazainfo.guittingtimepm,merchant_plazainfo.ledword,merchant_plazainfo.dmbword,merchant_plazainfo.monday_bg,merchant_plazainfo.monday_end,merchant_plazainfo.tuesday_bg,merchant_plazainfo.tuesday_end,merchant_plazainfo.wednesday_bg,merchant_plazainfo.wednesday_end,merchant_plazainfo.thursday_bg,merchant_plazainfo.thursday_end,merchant_plazainfo.friday_bg,merchant_plazainfo.friday_end,merchant_plazainfo.saturday_bg,merchant_plazainfo.saturday_end,merchant_plazainfo.sunday_bg,merchant_plazainfo.sunday_end
000000000000000000000000000001001505,雅安万达广场,YA,,5517,2017-07-21 00:00:00.0,0,0,0,0,0,3,1001505,1001505,1001505,,,,,0,雅安,http://m.weather.com.cn/atad/101271701.html,,,,,200,200,2017-07-15 10:00:00.0,2017-07-15 22:00:00.0,2017-07-15 10:00:00.0,2017-07-15 22:00:00.0,2017-07-15 10:00:00.0,2017-07-15 22:00:00.0,2017-07-15 10:00:00.0,2017-07-15 22:00:00.0,2017-07-15 10:00:00.0,2017-07-15 22:30:00.0,2017-07-15 10:00:00.0,2017-07-15 22:30:00.0,2017-07-15 10:00:00.0,2017-07-15 22:00:00.0
000000000000000000000000000001001504,九江万达广场,JJ,,5498,2017-07-08 00:00:00.0,0,0,0,0,0,3,1001504,1001504,1001504,,,,,0,九江,http://m.weather.com.cn/atad/101240201.html,,,,,200,200,2017-07-04 10:00:00.0,2017-07-04 22:00:00.0,2017-07-04 10:00:00.0,2017-07-04 22:00:00.0,2017-07-04 10:00:00.0,2017-07-04 22:00:00.0,2017-07-04 10:00:00.0,2017-07-04 22:00:00.0,2017-07-04 10:00:00.0,2017-07-04 22:00:00.0,2017-07-04 10:00:00.0,2017-07-04 22:00:00.0,2017-07-04 10:00:00.0,2017-07-04 22:00:00.0
000000000000000000000000000001001544,重庆北碚万达广场,ZQB*,,5524,2017-08-25 00:00:00.0,0,0,0,0,0,3,1001544,1001544,1001544,,,,,0,北碚,http://m.weather.com.cn/atad/101040800.html,,,,,200,200,2017-07-28 10:00:00.0,2017-07-28 22:00:00.0,2017-07-28 10:00:00.0,2017-07-28 22:00:00.0,2017-07-28 10:00:00.0,2017-07-28 22:00:00.0,2017-07-28 10:00:00.0,2017-07-28 22:00:00.0,2017-07-28 10:00:00.0,2017-07-28 22:00:00.0,2017-07-28 10:00:00.0,2017-07-28 22:00:00.0,2017-07-28 10:00:00.0,2017-07-28 22:00:00.0
000000000000000000000000000001001724,北京怀柔万达广场,BJHR,,5566,2018-01-01 00:00:00.0,0,0,0,0,0,3,1001724,1001724,1001724,,,,,0,怀柔,http://m.weather.com.cn/atad/101010500.html,,,,,200,200,2018-01-20 08:30:00.0,2018-01-20 22:00:00.0,2018-01-20 08:30:00.0,2018-01-20 22:00:00.0,2018-01-20 08:30:00.0,2018-01-20 22:00:00.0,2018-01-20 08:30:00.0,2018-01-20 22:00:00.0,2018-01-20 08:30:00.0,2018-01-20 22:00:00.0,2018-01-20 08:30:00.0,2018-01-20 22:00:00.0,2018-01-20 08:30:00.0,2018-01-20 22:00:00.0
000000000000000000000000000001001605,常熟万达广场,CS,,5541,2017-07-22 00:00:00.0,0,0,0,0,0,3,1001605,1001605,1001605,,,,,0,常熟,http://m.weather.com.cn/atad/101190402.html,,,,,200,200,2017-07-16 10:00:00.0,2017-07-16 22:00:00.0,2017-07-16 10:00:00.0,2017-07-16 22:00:00.0,2017-07-16 10:00:00.0,2017-07-16 22:00:00.0,2017-07-16 10:00:00.0,2017-07-16 22:00:00.0,2017-07-16 10:00:00.0,2017-07-16 22:30:00.0,2017-07-16 10:00:00.0,2017-07-16 22:30:00.0,2017-07-16 10:00:00.0,2017-07-16 22:00:00.0
000000000000000000000000000001001643,衢州万达广场,*Z,,5543,2017-12-15 00:00:00.0,0,0,0,0,0,3,1001643,1001643,1001643,,,,,0,衢州,http://m.weather.com.cn/atad/101211001.html,,,,,200,200,2017-11-29 10:00:00.0,2017-11-29 22:00:00.0,2017-11-29 10:00:00.0,2017-11-29 22:00:00.0,2017-11-29 10:00:00.0,2017-11-29 22:00:00.0,2017-11-29 10:00:00.0,2017-11-29 22:00:00.0,2017-11-29 10:00:00.0,2017-11-29 22:30:00.0,2017-11-29 10:00:00.0,2017-11-29 22:30:00.0,2017-11-29 10:00:00.0,2017-11-29 22:00:00.0
000000000000000000000000000001001645,成都武侯万达广场,CDWH,,5549,2017-12-22 00:00:00.0,0,0,0,0,0,3,1001645,1001645,1001645,,,,,0,成都,http://m.weather.com.cn/atad/101270101.html,,,,,200,200,2017-12-10 10:00:00.0,2017-12-10 22:00:00.0,2017-12-10 10:00:00.0,2017-12-10 22:00:00.0,2017-12-10 10:00:00.0,2017-12-10 22:00:00.0,2017-12-10 10:00:00.0,2017-12-10 22:00:00.0,2017-12-10 10:00:00.0,2017-12-10 22:30:00.0,2017-12-10 10:00:00.0,2017-12-10 22:30:00.0,2017-12-10 10:00:00.0,2017-12-10 22:00:00.0
000000000000000000000000000001001835,泰州泰兴万达广场,TZTX,,6158,2018-12-15 00:00:00.0,,,,,,,1001835,1001835,1001835,,,,,,,,,,,,200,200,,,,,,,,,,,,,,
000000000000000000000000000001001644,北京丰台西铁营万达广场,BJFTXTY,,5537,2017-12-22 00:00:00.0,0,0,0,0,0,3,1001644,1001644,1001644,,,,,0,丰台,http://m.weather.com.cn/atad/101010900.html,,,,,200,200,2017-12-17 10:00:00.0,2017-12-17 22:00:00.0,2017-12-17 10:00:00.0,2017-12-17 22:00:00.0,2017-12-17 10:00:00.0,2017-12-17 22:00:00.0,2017-12-17 10:00:00.0,2017-12-17 22:00:00.0,2017-12-17 10:00:00.0,2017-12-17 22:00:00.0,2017-12-17 10:00:00.0,2017-12-17 22:00:00.0,2017-12-17 10:00:00.0,2017-12-17 22:00:00.0
000000000000000000000000000001001324,成都区域商管公司,CDQYSGGS,,3440,,,,,,,,1001324,1001324,1001324,,,,,,,,,,,,200,200,,,,,,,,,,,,,,
