passenger_dimplaza.plazakey,passenger_dimplaza.plazainfoid,passenger_dimplaza.branchid,passenger_dimplaza.plazaid,passenger_dimplaza.plazaname,passenger_dimplaza.zonecode,passenger_dimplaza.zonename,passenger_dimplaza.busiarea,passenger_dimplaza.buildarea,passenger_dimplaza.rentarea,passenger_dimplaza.primarystorerentarea,passenger_dimplaza.normalstorerentarea,passenger_dimplaza.parkingcount,passenger_dimplaza.cityname,passenger_dimplaza.citylevel,passenger_dimplaza.districttype,passenger_dimplaza.owner,passenger_dimplaza.address,passenger_dimplaza.deleteddate,passenger_dimplaza.opendate,passenger_dimplaza.plazacentury,passenger_dimplaza.plazarate,passenger_dimplaza.managedarea,passenger_dimplaza.plazatype,passenger_dimplaza.businessdate,passenger_dimplaza.totalbuildingarea,passenger_dimplaza.businessbuildingarea,passenger_dimplaza.ysid,passenger_dimplaza.vicestorearea,passenger_dimplaza.indexcode
321,266,259,CZ1648,常州溧阳,SG08,无锡,91712.70,,59805.00,21124.00,38681.00,,常州,1499,,华东,,1900-01-01 00:00:00.0,2018-06-01 00:00:00.0,,,5490,0,,91915.01,59308.23,1001648,0.00,
347,292,285,CZ1819,山西长治,QY24,太原,,,56297.00,28795.00,27502.00,,长治,1498,,华中,,2018-09-23 00:00:00.0,2018-09-22 00:00:00.0,,,5618,0,,,,1001819,0.00,
382,327,318,CZ2026,滁州万达广场,,,,,62647.00,23706.00,38941.00,,,,,,,2019-12-06 00:00:00.0,2019-12-06 00:00:00.0,,,,0,,,,1002026,0.00,
133,106,106,CZWJ,常州武进,SG08,无锡,90937.58,,68986.00,42991.00,25995.00,0,常州,1499,,华东,,1900-01-01 00:00:00.0,2014-08-08 00:00:00.0,,,5490,1,,91773.56,68869.72,1000705,0.00,CZWJ
213,184,177,D1143,东莞虎门,QY027,东莞,92756.46,,68701.00,42578.00,26123.00,0,东莞,1499,,华南,,1900-01-01 00:00:00.0,2016-12-16 00:00:00.0,,,5396,1,,93480.52,68700.89,1001143,0.00,D*HM
120,93,93,DD,辽宁丹东,QY05,沈阳,113330.54,,85372.00,55037.00,30335.00,0,丹东,1501,,东北,,1900-01-01 00:00:00.0,2013-12-20 00:00:00.0,,,5502,1,,113330.54,82576.00,1000625,0.00,DD
112,85,85,DGCA,东莞长安,QY027,东莞,118040.15,,83033.00,45085.00,37948.00,0,东莞,1499,,华南,,1900-01-01 00:00:00.0,2013-07-20 00:00:00.0,,,5396,1,,117849.12,85822.26,1000545,0.00,DGCA
147,104,104,DGDC,东莞东城,QY027,东莞,103372.65,,81124.00,58197.00,22927.00,0,东莞,1499,,华南,,1900-01-01 00:00:00.0,2014-09-12 00:00:00.0,,,5396,1,,105465.79,79249.31,1000707,0.00,DGDC
176,147,140,DGHJ,东莞厚街,QY027,东莞,88348.27,,64243.00,38312.00,25931.00,0,东莞,1499,,华南,,1900-01-01 00:00:00.0,2015-11-06 00:00:00.0,,,5396,1,,88348.27,63222.16,1001010,0.00,DGHJ
272,217,210,DL1285,大连普兰店,QY22,大连,80733.20,,55872.00,24631.00,31241.00,,大连,1498,,东北,,1900-01-01 00:00:00.0,2017-07-29 00:00:00.0,,,5502,0,,80733.20,55900.31,1001285,0.00,
